Liczba sygnalów: 3
Program tworzacy: JazzRecorder 2.5
Plik zródlowy: C:/Documents and Settings/admin/Desktop/kalib2_wojtek.jazz
Data tworzenia: 9/04/2019
Czas tworzenia: 09:16:29.817
Informacje o danych: 
Numer sygnalu 1	eye movement - horizontal	1000	1000	signed int	2	NoCalib
Numer sygnalu 2	eye movement - vertical	1000	1000	signed int	2	NoCalib
Numer sygnalu 3	microphone	1000	8000	unsigned int	16	NoCalib
no	Eye_X	Eye_Y	Mic
621	1017	2306	1778
622	1017	2306	2040
623	1017	2306	2045
624	1017	2306	2772
625	1017	2307	1666
626	1017	2306	1789
627	1017	2307	2399
628	1016	2307	2192
629	1016	2306	2064
630	1016	2306	1927
631	1015	2307	1761
632	1015	2307	2108
633	1015	2306	2059
634	1015	2307	1791
635	1015	2306	1984
636	1016	2306	2150
637	1016	2306	1611
638	1016	2306	1825
639	1017	2306	2343
640	1017	2306	1854
641	1017	2306	1880
642	1017	2306	1911
643	1017	2306	2441
644	1016	2306	1970
645	1017	2306	1934
646	1017	2307	2089
647	1016	2306	2386
648	1016	2306	2563
649	1016	2307	1869
650	1016	2307	1786
651	1016	2307	2737
652	1018	2308	2310
653	1017	2308	1407
654	1017	2307	2484
655	1018	2308	2134
656	1018	2309	2075
657	1019	2308	1449
658	1019	2308	2099
659	1017	2307	1920
660	1017	2307	2066
661	1018	2307	1992
662	1018	2307	1622
663	1018	2306	2120
664	1017	2306	1967
665	1017	2307	1915
666	1017	2306	1979
667	1018	2306	2084
668	1017	2306	1771
669	1017	2306	1818
670	1017	2306	2472
671	1017	2306	1608
672	1017	2306	1997
673	1017	2307	2159
674	1017	2308	2284
675	1017	2308	1621
676	1018	2309	2567
677	1018	2310	2408
678	1018	2310	1788
679	1018	2310	2082
680	1017	2309	2035
681	1017	2309	2479
682	1018	2308	1554
683	1018	2307	2013
684	1018	2307	2406
685	1018	2307	1869
686	1019	2307	1889
687	1019	2306	2023
688	1019	2306	2094
689	1018	2307	1764
690	1019	2307	1996
691	1019	2307	1927
692	1018	2306	2585
693	1018	2306	1992
694	1018	2307	1827
695	1019	2308	2085
696	1019	2308	1756
697	1019	2307	2031
698	1019	2307	2000
699	1018	2308	2227
700	1019	2308	2411
701	1018	2308	2186
702	1018	2307	1751
703	1018	2307	1693
704	1018	2307	2007
705	1017	2308	2254
706	1017	2308	1434
707	1017	2308	2535
708	1017	2307	2311
709	1017	2308	1683
710	1017	2308	1885
711	1016	2307	1955
712	1016	2307	1930
713	1017	2307	1619
714	1016	2307	2681
715	1016	2306	2388
716	1017	2307	2184
717	1017	2307	2037
718	1017	2307	1963
719	1017	2307	1911
720	1017	2307	1913
721	1016	2308	1976
722	1017	2308	2091
723	1017	2309	2018
724	1017	2307	2078
725	1016	2307	2139
726	1016	2308	2010
727	1017	2309	1931
728	1017	2309	1701
729	1017	2309	1928
730	1017	2310	1965
731	1016	2309	2470
732	1016	2310	2010
733	1015	2310	2172
734	1015	2310	1911
735	1014	2309	1956
736	1014	2309	2007
737	1013	2308	1683
738	1015	2308	2260
739	1016	2307	2229
740	1016	2308	2011
741	1017	2307	1972
742	1018	2307	2457
743	1019	2306	1563
744	1018	2306	1872
745	1018	2306	2311
746	1017	2305	1849
747	1017	2307	2141
748	1016	2307	2183
749	1016	2307	2242
750	1016	2307	1802
751	1016	2307	1695
752	1016	2307	2259
753	1016	2308	1942
754	1016	2308	1738
755	1016	2308	2254
756	1016	2308	2106
757	1016	2308	2058
758	1016	2308	1993
759	1015	2308	1945
760	1017	2308	1991
761	1017	2308	1900
762	1018	2308	2201
763	1018	2307	2058
764	1018	2307	2121
765	1018	2307	2027
766	1019	2308	1938
767	1019	2308	2006
768	1019	2309	1991
769	1019	2309	2315
770	1018	2309	2009
771	1018	2309	2254
772	1018	2309	1831
773	1018	2309	2107
774	1018	2309	1826
775	1017	2309	2157
776	1017	2309	1948
777	1016	2309	2077
778	1017	2309	2038
779	1017	2309	1844
780	1017	2309	2403
781	1017	2309	1689
782	1017	2309	2235
783	1018	2308	1749
784	1018	2308	2005
785	1018	2309	2029
786	1018	2308	2185
787	1018	2308	2013
788	1017	2308	1902
789	1017	2309	2231
790	1018	2308	1791
791	1018	2308	2229
792	1018	2309	1889
793	1017	2308	2253
794	1017	2309	2089
795	1017	2309	1808
796	1018	2309	2087
797	1018	2308	1935
798	1018	2308	2189
799	1017	2308	2029
800	1017	2307	1733
801	1016	2307	2413
802	1017	2307	1873
803	1017	2307	1937
804	1015	2307	1973
805	1015	2307	2143
806	1015	2307	2021
807	1014	2308	2009
808	1015	2309	2148
809	1016	2309	1934
810	1015	2309	2151
811	1015	2310	1885
812	1016	2310	2075
813	1017	2311	2222
814	1017	2312	2067
815	1017	2312	2098
816	1017	2311	1986
817	1017	2311	2066
818	1018	2311	2153
819	1018	2310	1835
820	1018	2310	2556
821	1018	2309	1634
822	1018	2309	1997
823	1018	2307	1890
824	1018	2307	2250
825	1018	2307	2091
826	1017	2307	1919
827	1017	2306	2068
828	1017	2306	1811
829	1017	2307	2045
830	1017	2307	2123
831	1017	2306	1862
832	1018	2306	2208
833	1018	2307	1951
834	1018	2307	2236
835	1018	2308	1793
836	1018	2307	1988
837	1018	2307	2083
838	1018	2307	1829
839	1018	2308	2206
840	1018	2308	2052
841	1018	2307	2065
842	1019	2308	2120
843	1018	2308	1908
844	1018	2308	2009
845	1018	2309	1921
846	1018	2309	2212
847	1018	2309	1776
848	1018	2309	2140
849	1018	2309	2026
850	1017	2309	1960
851	1018	2309	2200
852	1016	2309	1804
853	1016	2309	2246
854	1016	2310	1914
855	1015	2310	2239
856	1013	2311	1979
857	1012	2311	1979
858	1010	2311	2207
859	1008	2311	1943
860	1008	2312	2101
861	1007	2312	2039
862	1005	2310	2060
863	1005	2310	2083
864	1005	2310	2162
865	1005	2310	1902
866	1006	2310	1968
867	1006	2310	2193
868	1007	2310	1814
869	1007	2310	1987
870	1007	2311	2184
871	1007	2311	1989
872	1007	2311	2248
873	1007	2310	1940
874	1007	2309	2151
875	1007	2309	2005
876	1007	2309	1881
877	1008	2309	2069
878	1008	2309	2044
879	1009	2309	2092
880	1009	2310	1914
881	1008	2310	2151
882	1007	2311	2040
883	1008	2312	1874
884	1007	2311	1847
885	1007	2312	2210
886	1007	2311	2102
887	1006	2311	1962
888	1006	2310	2246
889	1005	2309	1916
890	1005	2308	2046
891	1004	2308	1877
892	1004	2309	2048
893	1004	2308	2002
894	1003	2308	2184
895	1003	2308	2097
896	1003	2308	2004
897	1003	2308	1988
898	1003	2309	1848
899	1003	2309	2019
900	1003	2308	2178
901	1003	2308	2012
902	1003	2308	2122
903	1004	2308	1997
904	1005	2309	1933
905	1005	2309	1960
906	1005	2309	2107
907	1006	2309	1861
908	1007	2309	2013
909	1006	2309	2119
910	1007	2309	2055
911	1007	2309	1994
912	1007	2308	2050
913	1007	2308	2022
914	1007	2308	1997
915	1007	2309	2060
916	1006	2309	1954
917	1006	2309	2133
918	1007	2309	1913
919	1006	2309	1919
920	1005	2310	2102
921	1005	2310	1866
922	1006	2311	2039
923	1005	2310	1980
924	1006	2310	2012
925	1007	2311	1921
926	1007	2312	2185
927	1007	2312	1978
928	1008	2312	1944
929	1008	2312	2114
930	1008	2312	2062
931	1008	2312	1852
932	1009	2312	2097
933	1008	2312	2107
934	1008	2312	1980
935	1009	2313	1936
936	1009	2313	2175
937	1009	2313	2060
938	1010	2312	1967
939	1009	2312	1834
940	1009	2312	2034
941	1009	2312	2011
942	1009	2311	2097
943	1009	2311	1889
944	1009	2309	2175
945	1010	2309	1935
946	1010	2310	1964
947	1011	2310	2059
948	1011	2310	2046
949	1010	2310	1951
950	1011	2309	2040
951	1010	2309	2027
952	1010	2310	2040
953	1010	2310	1855
954	1009	2309	2192
955	1009	2310	1847
956	1009	2309	1968
957	1009	2309	2043
958	1009	2310	2019
959	1008	2310	2040
960	1008	2309	2193
961	1008	2309	1883
962	1008	2309	1983
963	1007	2308	1972
964	1007	2308	2173
965	1006	2308	1907
966	1006	2308	1905
967	1007	2308	2275
968	1007	2308	1830
969	1007	2308	1901
970	1006	2308	2236
971	1006	2308	2029
972	1006	2308	2113
973	1006	2308	1833
974	1005	2308	2199
975	1006	2308	1991
976	1006	2308	1667
977	1005	2308	2253
978	1005	2308	2043
979	1006	2308	2051
980	1005	2308	2277
981	1005	2308	1949
982	1005	2308	2221
983	1006	2308	1806
984	1005	2309	1968
985	1006	2309	2224
986	1005	2308	1796
987	1005	2309	2061
988	1005	2309	1955
989	1004	2308	1930
990	1005	2308	2341
991	1004	2308	1822
992	1003	2307	2237
993	1003	2308	2081
994	1003	2308	1959
995	1002	2307	2301
996	1003	2308	1751
997	1004	2308	2127
998	1003	2308	2020
999	1004	2308	1718
1000	1005	2308	2236
1001	1005	2307	1898
1002	1006	2308	2132
1003	1006	2308	1999
1004	1005	2308	2010
1005	1005	2308	2421
1006	1005	2307	1783
1007	1005	2307	1963
1008	1005	2308	2253
1009	1006	2308	2053
1010	1006	2308	1624
1011	1006	2307	2255
1012	1006	2307	2159
1013	1006	2306	2053
1014	1007	2307	1684
1015	1006	2307	2364
1016	1007	2307	2180
1017	1007	2306	1641
1018	1007	2306	2203
1019	1007	2307	2227
1020	1007	2307	1928
1021	1008	2307	1952
1022	1008	2307	2055
1023	1008	2307	2068
1024	1008	2308	1891
1025	1009	2308	2027
1026	1008	2308	2194
1027	1009	2308	2011
1028	1010	2308	2020
1029	1009	2309	2043
1030	1009	2309	1926
1031	1010	2309	2134
1032	1010	2309	2041
1033	1010	2310	1862
1034	1010	2310	2164
1035	1009	2309	2104
1036	1009	2309	2033
1037	1009	2308	1927
1038	1009	2308	2130
1039	1009	2309	2026
1040	1009	2308	1868
1041	1008	2308	2096
1042	1009	2308	2127
1043	1009	2308	1905
1044	1008	2308	1965
1045	1009	2309	2024
1046	1009	2309	2172
1047	1009	2308	1811
1048	1009	2309	2067
1049	1009	2309	2124
1050	1009	2309	2069
1051	1008	2310	2011
1052	1009	2311	2169
1053	1009	2310	1859
1054	1009	2310	2034
1055	1008	2311	1975
1056	1008	2310	2017
1057	1009	2311	2105
1058	1009	2311	2045
1059	1008	2311	2053
1060	1007	2311	1903
1061	1008	2311	1999
1062	1008	2311	2219
1063	1009	2310	1767
1064	1009	2310	2081
1065	1008	2310	2057
1066	1009	2310	2066
1067	1010	2310	1955
1068	1011	2309	1976
1069	1011	2310	2239
1070	1011	2310	1972
1071	1011	2311	1847
1072	1011	2312	2228
1073	1011	2312	1994
1074	1011	2312	1971
1075	1011	2312	2188
1076	1011	2312	1985
1077	1011	2312	1955
1078	1012	2311	1940
1079	1012	2310	2151
1080	1012	2310	2040
1081	1012	2310	1843
1082	1012	2310	2167
1083	1012	2311	2096
1084	1012	2311	2029
1085	1012	2311	2042
1086	1012	2312	2032
1087	1012	2312	2122
1088	1012	2312	2019
1089	1013	2313	1979
1090	1013	2313	2015
1091	1012	2312	1992
1092	1012	2312	2018
1093	1012	2313	1994
1094	1012	2313	1961
1095	1012	2312	2224
1096	1012	2312	2011
1097	1011	2312	1892
1098	1011	2312	2104
1099	1011	2312	1985
1100	1011	2313	2007
1101	1011	2313	2037
1102	1010	2312	2089
1103	1010	2312	2033
1104	1011	2312	1929
1105	1012	2313	2120
1106	1011	2313	2021
1107	1011	2313	1895
1108	1011	2313	2109
1109	1010	2313	1939
1110	1011	2312	2166
1111	1010	2313	1988
1112	1010	2313	2068
1113	1009	2313	2063
1114	1009	2313	1921
1115	1008	2312	2051
1116	1008	2313	1945
1117	1009	2311	2154
1118	1008	2313	2132
1119	1008	2312	1927
1120	1008	2313	1978
1121	1007	2312	1982
1122	1008	2313	2005
1123	1008	2312	1919
1124	1009	2313	1920
1125	1009	2314	2099
1126	1010	2314	2047
1127	1010	2314	1944
1128	1010	2314	1998
1129	1011	2315	2033
1130	1010	2315	2014
1131	1011	2315	2041
1132	1010	2315	2153
1133	1010	2314	1955
1134	1010	2315	2009
1135	1010	2315	1949
1136	1010	2315	2226
1137	1010	2314	2033
1138	1010	2313	1823
1139	1010	2313	2157
1140	1010	2312	2007
1141	1010	2311	1980
1142	1010	2311	2128
1143	1010	2310	2123
1144	1010	2310	1915
1145	1009	2310	2133
1146	1009	2311	2097
1147	1009	2312	2025
1148	1009	2313	1969
1149	1009	2313	2110
1150	1009	2314	1854
1151	1009	2315	2136
1152	1009	2315	2007
1153	1009	2315	1888
1154	1009	2314	2167
1155	1009	2314	1971
1156	1010	2314	2163
1157	1010	2315	1918
1158	1010	2315	1891
1159	1010	2315	2078
1160	1010	2315	1887
1161	1011	2314	1952
1162	1011	2315	2075
1163	1011	2316	1948
1164	1010	2316	2144
1165	1010	2315	2014
1166	1011	2315	2099
1167	1011	2314	2118
1168	1011	2315	1903
1169	1011	2316	2126
1170	1011	2315	1904
1171	1011	2315	1951
1172	1012	2314	2197
1173	1012	2314	1808
1174	1011	2313	2089
1175	1011	2315	2107
1176	1012	2315	1900
1177	1012	2314	2221
1178	1011	2314	1973
1179	1011	2314	2205
1180	1011	2314	2207
1181	1010	2315	1823
1182	1010	2315	2155
1183	1010	2314	1762
1184	1010	2314	1981
1185	1010	2315	2246
1186	1010	2315	1885
1187	1009	2315	2273
1188	1009	2315	1974
1189	1010	2315	2007
1190	1010	2315	2037
1191	1011	2315	1930
1192	1011	2316	2148
1193	1011	2316	2020
1194	1011	2317	2079
1195	1011	2316	2167
1196	1012	2317	1969
1197	1012	2317	2037
1198	1011	2317	2117
1199	1011	2317	2196
1200	1010	2317	2231
1201	1010	2318	1710
1202	1010	2317	2138
1203	1010	2317	2159
1204	1009	2317	2095
